Name,Description,Medium,Setting
Kai,"South Korean singer, dancer, actor and model",electronic music,South Korea
Kai,"South Korean singer, dancer, actor and model",K-pop,South Korea
Kai,"South Korean singer, dancer, actor and model",contemporary R&B,South Korea
Lu Han,Chinese singer and actor,K-pop,People's Republic of China
Funky Sueyoshi,Japanese drummer and music producer (1959-),heavy metal,Japan
Funky Sueyoshi,Japanese drummer and music producer (1959-),J-pop,Japan
Hoki Tokuda,Japanese singer,jazz,Japan
Mike Maki,Japanese actor and singer-songwriter,folk music,Japan
Jo Young-min,South Korean singer and actor,K-pop,South Korea
Lourenço Baeta,Brazilian composer,música popular brasileira,Brazil
Lu Andrade,Brazilian singer and actress,pop music,Brazil
Lu Andrade,Brazilian singer and actress,pop rock,Brazil
Karla Sabah,Brazilian actress,música popular brasileira,Brazil
Letícia Navas,Brazilian actress,pop rock,Brazil
Maisa Silva,"Brazilian actress, TV hostess, model, singer and YouTuber",pop music,Brazil
Manu Gavassi,Brazilian singer-songwriter and actress,pop music,Brazil
Pedro Sol,"Brazilian actor, composer and musician",pop music,Brazil
Oh Se-hun,"South Korean rapper, singer-songwriter, dancer, model and actor",K-pop,South Korea
Quang Dũng,Vietnamese singer,lyricism,Vietnam
Heejun Han,South Korean singer,pop music,United States
Suho,"South Korean singer, group EXO leader",K-pop,South Korea
Angelo Michajlov,Czech composer,classical music,Czech Republic
Angelo Michajlov,Czech composer,popular music,Czech Republic
Angelo Michajlov,Czech composer,classical music,Bulgaria
Angelo Michajlov,Czech composer,popular music,Bulgaria
Thanh Ngọc,Vietnamese singer and actress,V-pop,Vietnam
Thủy Tiên,Vietnamese singer,pop music,Vietnam
Trương Quỳnh Anh,Vietnamese singer and actress,nhạc trẻ,Vietnam
Ta Minh Tam,"Vietnamese singer, actor",opera,Vietnam
Wanbi Tuấn Anh,Vietnamese actor and singer (1987-2013),pop music,Vietnam
Xiumin,South Korean singer and actor,K-pop,South Korea
Xiumin,South Korean singer and actor,contemporary R&B,South Korea
Xuân Nghi,Vietnamese singer-songwriter and actress (born 1994),contemporary R&B,Vietnam
Xuân Nghi,Vietnamese singer-songwriter and actress (born 1994),children's music,Vietnam
Xuân Nghi,Vietnamese singer-songwriter and actress (born 1994),V-pop,Vietnam
B-Bomb,South Korean singer and actor,K-pop,South Korea
P.O,"South Korean rapper, singer and actor",hip-hop,South Korea
P.O,"South Korean rapper, singer and actor",K-pop,South Korea
Minh Thuan,Vietnamese singer and actor,nhạc trẻ,Vietnam
Miu Lê,Vietnamese singer and actress,dance-pop,Vietnam
Miu Lê,Vietnamese singer and actress,contemporary R&B,Vietnam
Miu Lê,Vietnamese singer and actress,V-pop,Vietnam
Miu Lê,Vietnamese singer and actress,ballad,Vietnam
Nam Woo-hyun,South Korean singer and actor,dance-pop,South Korea
Nam Woo-hyun,South Korean singer and actor,K-pop,South Korea
Nam Woo-hyun,South Korean singer and actor,pop rock,South Korea
