,text,embeddings,distances
0,"March 2 – Russian invasion of Ukraine: Russia captures its first large city, the Black Sea port of Kherson, as shelling intensifies across many parts of Ukraine, including civilian areas.","[ 0.00081407 -0.01842358  0.0125922  ...  0.01602991  0.01431106
  0.01872915]",0.10917599419597646
1,"April 3 – Russian invasion of Ukraine: As Russia's forces retreat from areas near Kyiv, it is accused by Ukraine of war crimes, amid mounting evidence of indiscriminate civilian killings, including the Bucha massacre.","[-0.01213661 -0.0124027   0.00538684 ...  0.01850995  0.01417452
  0.0066005 ]",0.11138144544977802
2,"November 11 – Russian invasion of Ukraine: Ukrainian forces recapture Kherson, the only regional capital to be taken by Russia since the start of the war.","[-0.0122911  -0.01395855  0.0166113  ...  0.02321792  0.00704875
  0.01275849]",0.1156217954679154
3,"September 21 – Russian invasion of Ukraine: Following a major counteroffensive by Ukraine in the east of the country, Putin announces a partial mobilisation of Russia and threatens nuclear retaliation, saying ""this is not a bluff"".","[-0.02549138 -0.02205592  0.01317991 ...  0.0038186   0.01996144
 -0.00916336]",0.11682446538686408
4,May 16 – Russian invasion of Ukraine: The Siege of Mariupol ends in a Russian victory as Ukrainian troops are evacuated from Mariupol.,"[-0.01833553 -0.00646986  0.01102178 ...  0.00634839  0.01685233
 -0.00912941]",0.11922279492080945
5,"October 8 – Russian invasion of Ukraine: An explosion occurs on the Crimean Bridge connecting Crimea and Russia, killing three and causing a partial collapse of the only road bridge between the Crimean Peninsula and the Russian mainland. Two days later, retaliatory missile strikes are conducted by Russia across Ukraine, the most widespread since the start of the invasion, notably including attacks on Kyiv.","[-0.01382025 -0.00824904  0.01050888 ...  0.00311543  0.01839217
  0.00599574]",0.12114178113852814
6,"February 21 – February 24 – Russian President Vladimir Putin signs a decree declaring the Luhansk People's Republic and Donetsk People's Republic as independent from Ukraine, and, despite international condemnation and sanctions, begins a full-scale invasion of Ukraine; at dawn on 24 February missiles strike Kyiv. Ukraine severs diplomatic relations with Russia, followed by the Federated States of Micronesia on 25 February.","[-0.01189631 -0.0069129   0.00489691 ...  0.00704597  0.02730562
  0.01094487]",0.12135054611393714
7,"February 28 – Russian invasion of Ukraine: Russian and Ukrainian officials meet on the Belarus-Ukraine border for the first round of peace talks, with no resolution.","[-0.01181807 -0.00887778  0.00913071 ...  0.00769534  0.01516305
 -0.00267788]",0.1260494153249253
8,"March 1 – Russian invasion of Ukraine: In an emergency session, United Nations member states pass a resolution deploring Russia's invasion of Ukraine and calling for the immediate withdrawal of its forces.","[-0.00757119 -0.01615961  0.00350554 ... -0.0024674   0.02742626
 -0.00360855]",0.12616036209793935
9,March 9 – Russian invasion of Ukraine: Russia is condemned by world leaders following an air strike in Mariupol that destroys a hospital including a maternity and children's ward.,"[ 0.00113324 -0.01037839  0.00268743 ...  0.01190858  0.01783727
 -0.00319323]",0.12691145460567876
10,March 16 – Russian invasion of Ukraine: A Russian airstrike on the Mariupol Theatre in Mariupol kills an estimated 600 civilians sheltering inside.,"[-0.00895563 -0.00561979  0.00524664 ...  0.01033243  0.01641866
 -0.00050625]",0.1273719770917865
