,text,embeddings,distances
0,"Johnny, A young up-and-coming performer, Johnny is full of energy and enthusiasm. She's known for her edgy and unconventional looks, but can be a bit scatterbrained at times. She looks up to Donna as a mentor and hopes to follow in her footsteps., Musical, USA","[-0.0283522  -0.02244872  0.0080396  ... -0.01666177 -0.01037639
 -0.00461209]",0.14765660746835396
1,"Crystal, A quirky and imaginative performer, Crystal is always surprising audiences with her off-beat performances and unconventional looks. She's known for her unique creativity and imaginative approach, but can sometimes struggle with staying focused and on task. She's also a bit of a wildcard, and the other performers never know what to expect from her., Musical, USA","[-0.00856967 -0.01963399  0.01416646 ...  0.00963604 -0.023628
 -0.02441646]",0.18030404159605484
2,"Donna, A seasoned performer with a larger-than-life personality, Donna is confident and unapologetic on stage. She's known for her impeccable lip-sync skills and stunning costumes, but can sometimes come across as a diva behind the scenes. She's also a mentor to Johnny, helping her to hone her craft., Musical, USA","[-0.0256816  -0.01785532  0.00746995 ... -0.02309011  0.00199382
 -0.00732742]",0.18411845420586104
3,"Dolly, A bubbly and vivacious performer, Dolly is a fan favorite for her infectious personality and comedic performances. She's known for her campy looks and over-the-top antics, but can struggle with self-doubt and insecurity off stage. She's also a good friend of Johnny, often offering her words of encouragement., Musical, USA","[-0.0307691  -0.01996252  0.01735759 ... -0.00762135 -0.01243144
 -0.00136372]",0.1925667148414758
4,"Sable, A sultry and dramatic performer, Sable exudes confidence on stage. She's known for her fierce lip-syncing abilities and dramatic performances, but can sometimes be a bit too self-absorbed. She's also a rival of Donna, and the two often compete for the spotlight., Musical, USA","[-0.02552412 -0.01944322  0.01171813 ... -0.01971725 -0.0006912
  0.00966941]",0.19984910537008316
5,"James, A handsome and athletic personal trainer, James is always up for a challenge. He's looking for someone who is as passionate about fitness as he is, and who can keep up with his intense workout regimen. He can sometimes come across as a bit too competitive, but his heart is always in the right place., Reality Show, USA","[-0.02047462 -0.01632224  0.00418176 ... -0.02791756  0.01012632
 -0.02189792]",0.20917391574575517
6,"Karma, A chameleon-like performer, Karma is known for her ability to transform herself into any character. She's a master of illusion and is always pushing boundaries with her looks and performances, but can sometimes struggle with authenticity and staying true to herself. She's also a friend of Dolly, often offering her a listening ear when she needs it., Musical, USA","[-0.0041491  -0.02063959  0.00710449 ... -0.01037114 -0.0112247
 -0.03293606]",0.21209096424481366
7,"Caleb, A young African American man in his early 20s, Caleb is a talented musician who dreams of making it big in the music industry. He's charismatic, confident, and has a way with words. However, he's also struggling with addiction and is constantly at odds with his strict religious family., Movie, Texas","[ 0.00979803 -0.03147633  0.00950422 ... -0.00086787 -0.01161201
 -0.02480805]",0.21219441993241495
8,"Olivia, A confident and charismatic marketing executive with a heart of gold. Olivia is always the life of the party, and her infectious personality draws people to her. She's looking for someone who can keep up with her high energy and bring some stability to her life., Reality Show, USA","[-0.00535413 -0.01928923 -0.00535087 ... -0.00013061 -0.00334429
 -0.02059432]",0.21645618881629702
9,"Francesca, A fiery and passionate young woman who works as a blacksmith. She is strong-willed and independent, and her singing voice is bold and powerful. Francesca has caught the eye of Prince Lorenzo, but she is hesitant to give her heart to a man who comes from such a different world., Opera, Italy","[-1.26603339e-02 -2.45954040e-02 -2.81517487e-03 ...  2.81962827e-02
  5.83015535e-05 -1.21768238e-02]",0.22315061862802377
10,"Vixen, A fierce and competitive performer, Vixen is always out to win. She's known for her aggressive lip-syncing style and high-energy performances, but can be confrontational and difficult to work with. She's also a rival of Sable, and the two often clash both on and off stage., Musical, USA","[-0.03398788 -0.02679814  0.00610801 ... -0.02943874 -0.00984995
  0.00667666]",0.224163487342959
11,"Captain James, The charismatic and dashing captain of the local militia. Captain James is a ladies' man and enjoys flirting with the women of the town. He has a friendly rivalry with Reverend Brown and often teases him about his piousness., Sitcom, USA","[-0.00730619 -0.02028189  0.00340105 ... -0.00268581 -0.01322447
 -0.0026809 ]",0.22579956508603094
12,"Sophia, A fun-loving and adventurous travel blogger, Sophia is always looking for her next big adventure. She's looking for someone who can join her on her travels and share in her love of exploration. She's a free spirit who isn't afraid to take risks and try new things., Reality Show, USA","[ 0.01523106 -0.01989092 -0.00136051 ... -0.0021868  -0.00136634
 -0.02367206]",0.22610653046404594
13,"Marcus, A charming and successful entrepreneur, Marcus is used to getting what he wants. He's a smooth talker with a magnetic personality, but can sometimes come across as a bit too self-centered. He's looking for someone who can challenge him and keep him on his toes., Reality Show, USA","[-0.01149289 -0.04351728  0.0157285  ... -0.02326287 -0.00942786
 -0.00538688]",0.2284206656617861
14,"Chloe, A driven and ambitious attorney, Chloe is always striving for success. She's looking for someone who can match her intellect and drive, and who is supportive of her career goals. She's a bit guarded when it comes to matters of the heart, but is ready to let her guard down for the right person., Reality Show, USA","[-0.00668325 -0.01537938  0.01953668 ... -0.01053797 -0.00843958
 -0.0075976 ]",0.23169154757465116
15,"Prince Lorenzo, A charming and handsome prince who has recently returned from a long journey abroad. Prince Lorenzo is well-traveled and cultured, and his voice is smooth and velvety. He is searching for true love and has his sights set on a particular young woman., Opera, Italy","[-0.00359069 -0.01737495  0.0199993  ...  0.01128596 -0.0020943
 -0.01255289]",0.23244174523917183
16,"Don Carlo, A charming and charismatic young man who is often the life of the party. Don Carlo is quick-witted and clever, and his singing voice is playful and light. He is friends with Baron Gustavo, but his loyalty is often called into question. He is not above causing mischief and stirring up trouble for his own amusement., Opera, Italy","[-0.0075538  -0.00947503  0.03532975 ...  0.00250646 -0.01754685
 -0.010734  ]",0.23280020296155068
17,"Sarah, A woman in her mid-20s, Sarah is a free-spirited artist and Jack's employee. She's creative, unconventional, and passionate about her work. However, she can also be flighty and impulsive at times., Play, England","[-0.01621926 -0.02247911 -0.00822484 ...  0.01155959 -0.00407402
 -0.01202683]",0.23356705498614538
18,"Noah, A quirky and creative graphic designer, Noah is always pushing the boundaries with his art. He's looking for someone who can appreciate his unique perspective and isn't afraid to be a little unconventional. He's a bit of a romantic at heart, and loves nothing more than creating grand gestures of love for the people he cares about., Reality Show, USA","[-0.0188557  -0.02116132 -0.00344849 ... -0.00438928  0.01624532
 -0.0237717 ]",0.23609065669693186
